transaction_id,merchant_id,amount,payment_method,status,failure_reason,ground_truth_type,retry_count
TXN001,M001,2353,card,degraded,bank_timeout,temporary,1
TXN002,M001,4567,card,success,none,none,3
TXN003,M001,867,card,success,none,none,1
TXN004,M001,4697,card,degraded,card_declined,permanent,3
TXN005,M004,4927,upi,success,none,none,0
TXN006,M004,2887,upi,success,none,none,1
TXN007,M003,937,card,success,none,none,3
TXN008,M003,2917,netbanking,success,none,none,2
TXN009,M004,4492,card,success,none,none,3
TXN010,M005,2501,netbanking,success,none,none,2
TXN011,M001,475,netbanking,degraded,insufficient_balance,permanent,1
TXN012,M002,927,upi,failed,bank_timeout,temporary,2
TXN013,M002,3132,upi,failed,otp_timeout,permanent,1
TXN014,M001,1501,netbanking,degraded,otp_timeout,permanent,1
TXN015,M004,3208,upi,success,none,none,1
TXN016,M001,1976,card,degraded,otp_timeout,permanent,2
TXN017,M001,1828,netbanking,failed,otp_timeout,permanent,2
TXN018,M004,3341,netbanking,success,none,none,3
TXN019,M003,1243,card,success,none,none,2
TXN020,M004,4880,upi,degraded,card_declined,permanent,2
TXN021,M002,4274,upi,success,none,none,0
TXN022,M001,1352,netbanking,success,none,none,1
TXN023,M005,620,upi,degraded,gateway_error,temporary,3
TXN024,M005,2159,netbanking,degraded,gateway_error,temporary,0
TXN025,M005,2285,netbanking,degraded,bank_timeout,temporary,2
TXN026,M003,3661,card,success,none,none,3
TXN027,M003,4200,card,success,none,none,0
TXN028,M005,1729,card,degraded,otp_timeout,permanent,2
TXN029,M005,4444,card,success,none,none,2
TXN030,M001,3073,upi,failed,bank_timeout,temporary,1
TXN031,M002,4747,card,success,none,none,0
TXN032,M001,4463,card,degraded,gateway_error,temporary,1
TXN033,M005,1452,upi,degraded,gateway_error,temporary,3
TXN034,M005,1747,netbanking,success,none,none,2
TXN035,M004,4339,upi,failed,otp_timeout,permanent,0
TXN036,M002,624,upi,success,none,none,0
TXN037,M002,4920,card,degraded,card_declined,permanent,0
TXN038,M001,1975,card,success,none,none,0
TXN039,M005,2049,upi,failed,bank_timeout,temporary,3
TXN040,M005,1183,netbanking,success,none,none,3
TXN041,M004,3434,card,success,none,none,0
TXN042,M004,3002,upi,success,none,none,3
TXN043,M001,596,upi,failed,bank_timeout,temporary,2
TXN044,M002,1669,card,success,none,none,3
TXN045,M004,1603,upi,success,none,none,3
TXN046,M001,3730,netbanking,success,none,none,0
TXN047,M005,220,card,success,none,none,1
TXN048,M004,4078,upi,success,none,none,1
TXN049,M002,3204,card,failed,bank_timeout,temporary,3
TXN050,M003,3565,netbanking,failed,gateway_error,temporary,3
TXN051,M002,2530,card,success,none,none,0
TXN052,M001,2669,card,degraded,card_declined,permanent,0
TXN053,M005,4450,card,degraded,gateway_error,temporary,0
TXN054,M002,661,netbanking,degraded,bank_timeout,temporary,0
TXN055,M004,1082,netbanking,degraded,insufficient_balance,permanent,1
TXN056,M001,771,upi,degraded,card_declined,permanent,2
TXN057,M003,2055,upi,failed,insufficient_balance,permanent,3
TXN058,M003,3845,upi,success,none,none,0
TXN059,M004,4712,card,success,none,none,0
TXN060,M005,2272,card,degraded,insufficient_balance,permanent,2
TXN061,M002,3127,upi,success,none,none,1
TXN062,M003,4433,card,failed,card_declined,permanent,2
TXN063,M002,2266,card,degraded,bank_timeout,temporary,0
TXN064,M002,2331,upi,degraded,card_declined,permanent,1
TXN065,M002,2262,netbanking,degraded,otp_timeout,permanent,3
TXN066,M001,3569,upi,failed,bank_timeout,temporary,0
TXN067,M003,1171,netbanking,success,none,none,2
TXN068,M004,4619,netbanking,success,none,none,3
TXN069,M001,716,netbanking,degraded,bank_timeout,temporary,1
TXN070,M003,4871,netbanking,degraded,bank_timeout,temporary,1
TXN071,M001,2625,upi,failed,insufficient_balance,permanent,0
TXN072,M002,942,upi,failed,insufficient_balance,permanent,3
TXN073,M002,1431,card,degraded,insufficient_balance,permanent,3
TXN074,M002,2821,upi,success,none,none,1
TXN075,M001,3233,card,failed,insufficient_balance,permanent,3
TXN076,M002,3870,upi,success,none,none,2
TXN077,M002,293,netbanking,success,none,none,1
TXN078,M003,668,upi,failed,otp_timeout,permanent,2
TXN079,M004,4492,upi,degraded,card_declined,permanent,0
TXN080,M003,1562,netbanking,success,none,none,2
TXN081,M001,4987,upi,success,none,none,2
TXN082,M004,4289,card,degraded,otp_timeout,permanent,3
TXN083,M003,463,netbanking,degraded,insufficient_balance,permanent,3
TXN084,M005,4510,netbanking,success,none,none,1
TXN085,M001,2804,netbanking,failed,gateway_error,temporary,2
TXN086,M003,4254,upi,degraded,bank_timeout,temporary,3
TXN087,M003,4641,card,failed,gateway_error,temporary,1
TXN088,M002,4762,upi,failed,gateway_error,temporary,3
TXN089,M003,2450,card,degraded,bank_timeout,temporary,3
TXN090,M003,3909,upi,degraded,card_declined,permanent,3
TXN091,M005,3976,netbanking,degraded,insufficient_balance,permanent,1
TXN092,M003,4322,netbanking,degraded,bank_timeout,temporary,2
TXN093,M002,2642,card,success,none,none,1
TXN094,M001,478,card,success,none,none,3
TXN095,M004,3495,netbanking,degraded,bank_timeout,temporary,1
TXN096,M004,3373,card,degraded,gateway_error,temporary,1
TXN097,M001,3582,card,degraded,bank_timeout,temporary,1
TXN098,M004,511,netbanking,degraded,card_declined,permanent,1
TXN099,M004,1192,upi,success,none,none,2
TXN100,M005,3595,netbanking,failed,card_declined,permanent,3
